Event,Team,Medal,Known As,Athlete ID,NOC,Discipline,Year,Season,Place,Tied Place
"Doubles, Covered Courts, Men (Olympic)",Arthur Wentworth Gore,Gold,Roper Barrett,76,GBR,Tennis,1908,Summer,1.0,False
"Doubles, Covered Courts, Mixed (Olympic)",Helen Aitchison,Silver,Roper Barrett,76,GBR,Tennis,1912,Summer,2.0,False
"Singles, Covered Courts, Men (Olympic)",,,Roper Barrett,76,GBR,Tennis,1912,Summer,9.0,True
"Doubles, Covered Courts, Men (Olympic)",Arthur Wentworth Gore,,Roper Barrett,76,GBR,Tennis,1912,Summer,4.0,False
"Singles, Men (Olympic)",,,Jeremy Bates,77,GBR,Tennis,1988,Summer,17.0,True
"Doubles, Men (Olympic)",Andrew Castle,,Jeremy Bates,77,GBR,Tennis,1988,Summer,17.0,True
"Singles, Covered Courts, Men (Olympic)",,,Alfred Beamish,78,GBR,Tennis,1912,Summer,16.0,True
"Doubles, Covered Courts, Men (Olympic)",Charles Dixon,Bronze,Alfred Beamish,78,GBR,Tennis,1912,Summer,3.0,False
"Singles, Men (Olympic)",,,Alfred Beamish,78,GBR,Tennis,1920,Summer,9.0,True
"Doubles, Mixed (Olympic)",Geraldine Beamish,,Alfred Beamish,78,GBR,Tennis,1920,Summer,8.0,True
"Doubles, Men (Olympic)",Gordon Lowe,,Alfred Beamish,78,GBR,Tennis,1920,Summer,17.0,True
"Singles, Men (Olympic)",,Gold,John Pius Boland,79,GBR,Tennis,1896,Summer,1.0,False
"Doubles, Men (Olympic)",Fritz Traun,Gold,John Pius Boland,79,GBR,Tennis,1896,Summer,1.0,False
"Doubles, Men (Olympic)",Tim Henman,Silver,Neil Broad,80,GBR,Tennis,1996,Summer,2.0,False
"Singles, Men (Olympic)",,,George Caridia,81,GBR,Tennis,1908,Summer,5.0,True
"Singles, Covered Courts, Men (Olympic)",,Silver,George Caridia,81,GBR,Tennis,1908,Summer,2.0,False
"Doubles, Covered Courts, Men (Olympic)",George Simond,Silver,George Caridia,81,GBR,Tennis,1908,Summer,2.0,False
"Singles, Covered Courts, Men (Olympic)",,,George Caridia,81,GBR,Tennis,1912,Summer,5.0,True
"Doubles, Covered Courts, Men (Olympic)",Theodore Mavrogordato,,George Caridia,81,GBR,Tennis,1912,Summer,7.0,True
"Singles, Men (Olympic)",,,Andrew Castle,82,GBR,Tennis,1988,Summer,17.0,True
"Doubles, Men (Olympic)",Jeremy Bates,,Andrew Castle,82,GBR,Tennis,1988,Summer,17.0,True
"Singles, Men (Olympic)",,,Andrew Castle,82,GBR,Tennis,1992,Summer,33.0,True
"Doubles, Men (Olympic)",Chris Wilkinson,,Andrew Castle,82,GBR,Tennis,1992,Summer,17.0,True
